Factura electrónica;;;;;;;;;;;;;;;;;;;;;;;;
Generado a las 08:21hs del 1/28/2026;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
ptovta;factura;cae;fechafc;caja;cajanom;fecha;cliente;bimp;iva;importe;efectivo;merpag;tarjetas;otros;noche;hora;ticket;orden;ndoc;tdoc;id;estado;tipo;tcom
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;41322,31;8677,69;50000;0;0;50000;0;SA24/01/2026;02:05;4543;4538;0;99;bnF6N0hkOTF5NVRrTU92Rk03RTlxLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1737;86041240627371;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:06;4544;4539;0;99;dU4rUU9kaGVEQXdvdEZKVjRpbFhnUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;57851,24;12148,76;70000;0;0;70000;0;SA24/01/2026;02:07;4545;4540;0;99;OG1QNkxkZGdZRVRJcFhDWWNvdFlkdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1738;86041240652561;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:07;4546;4541;0;99;Tk9iZEUzbTNqb1lidTdHK2VKRWFhUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;02:08;4547;4542;0;99;M0FHb3BuaXlVcUF4VFJMMGl2a1Q2UDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1739;86041240669359;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:08;4548;4543;0;99;d2ZteExRcXBkTWU2Rkx5ZGZFTm1PdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:09;4549;4544;0;99;TkIwOXB5eDZoT05teHB6SURGL1d6ZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;02:10;4550;4545;0;99;WEdJVUVoaWhKSjZ5OEhlV2d1YXA1ZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1740;86041240699413;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;41322,31;8677,69;50000;0;0;50000;0;SA24/01/2026;02:10;4551;4546;0;99;cGhrNTZRMitZdVVJSWowT2diUHYwdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1741;86041240718800;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;49586,78;10413,22;60000;0;60000;0;0;SA24/01/2026;02:11;4552;4547;0;99;b1FsRVBvVHY0dHp6eGVhb2hRZ0dOLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
